Feature,coef
PD-L1,0.319781
INR,-0.0
TT,0.0
APTT,0.201901
PT,-0.0
FIB,-0.0
TBA,-0.0
UREA,0.026516
UA,-0.0
ALT,-0.0
Cr,0.0
T-CHO,-0.0
TG,0.0
AST,-0.0
CK,0.041652
LDH,-0.151795
GLOB,-0.0
K,0.0
IBIL,-0.0
ALB,0.0
Na,0.109084
Cl,0.0
Ca,-0.0
GLU,-0.0
TP,-0.0
TBIL,-0.0
DBIL,-0.0
CEA,0.0
NSE,-0.0
WBC,-0.114346
RBC,-0.113109
Hb,0.0
HCT,0.0
MCHC,0.076978
MCH,0.0
MCV,0.0
PLT,-0.0
MPV,0.0
PCT,-0.0
LYMPH%,0.0
MONO%,0.0
EOSIN%,0.0
BASO%,0.0
NEUT%,-0.0
NEUT,-0.0
LYMPH,-0.0
MONO,-0.0
EOSIN,-0.0
BASO,0.0
PDW,0.0
RDW-CV,-0.0
RDW-SD,0.133801
PLR,-0.0
NLR,-0.0
MLR,-0.0
PIV,-0.0
PAR,-0.0
SII,-0.0
SIRI,-0.0
PNI,0.0
